RNA processing	0.0011489986778909	161	906	1.46450415826279	5.23903924322846e-05	116	823	1.66424848762196	1.37477578522248e-16	218	595	1.77068728158424	3.9002167543799e-05	238	979	1.38850082171351	
Ribonucleoprotein complex biogenesis	0.0011489986778909	89	432	1.69784949817923	8.21322932482127e-05	67	401	1.97283355954859	2.84592743621829e-06	108	316	1.6517298326937	-	-	-	-	
Organonitrogen compound biosynthetic process	-	-	-	-	0.00368486160596128	174	1490	1.37886896508007	1.99369147335651e-06	281	1007	1.34858768457712	0.00404687864091276	368	1731	1.21423466311398	
DNA metabolic process	0.00792092587704321	148	865	1.41006307093054	0.000236104002803605	111	806	1.62610263636657	6.86036934166336e-05	111	348	1.54150903606759	-	-	-	-	
Cellular protein localization	-	-	-	-	0.000556611429827587	196	1657	1.39666927684704	0.0017353393485877	152	544	1.35035211267606	0.00672773146034384	159	678	1.33942779311833	
Cell cycle	0.00894927449626387	257	1659	1.27667298349386	-	-	-	-	2.14555635391603e-05	221	782	1.3658023656815	0.00149129243635547	163	674	1.38127319419106	
Mitochondrion	2.29933827561577e-05	246	1472	1.3772736158899	3.13825625792004e-08	226	1752	1.52312081857536	1.10207726395629e-11	263	842	1.50954476703954	4.34999497325905e-07	416	1855	1.28085890655356	
Catalytic complex	0.000278030728213064	207	1256	1.35823099482198	4.33097652173377e-05	163	1296	1.48505527861588	1.21530676246093e-08	281	972	1.39714794070901	1.88493266184659e-06	268	1134	1.34981302741325	
Intracellular protein-containing complex	0.000214810530453288	125	678	1.51940394586985	0.00202256818574197	90	692	1.53566480812934	0.000450162843568415	146	514	1.37275197364816	0.00334123902074882	156	680	1.31029040716371	
Nucleolus	2.29933827561577e-05	161	875	1.51638944844125	8.41658741759265e-05	120	900	1.57434081070445	0.00153416432416737	71	223	1.53870663205098	-	-	-	-	
Nuclear protein-containing complex	0.00261782138880517	177	1095	1.3321467757301	3.26642253372385e-06	148	1098	1.59154672120395	4.78471789115505e-10	259	855	1.46398285062793	-	-	-	-	
RNA binding	0.000485953731232599	248	1520	1.34462451091758	0.000963175457859612	134	1087	1.45557729048571	1.66845991089647e-08	213	687	1.49839117444266	1.38606002068593e-05	419	1867	1.28180387708611	
Catalytic activity, acting on a nucleic acid	0.00668718655773774	97	524	1.52557434968056	1.19456049000194e-05	86	540	1.88046263500809	1.01940195112414e-13	146	372	1.89675944746009	-	-	-	-	
