373	35	4313	1268	181	830	58	258	
668	795	346	1182	40	277	166	800	
93	2013	91	847	27	633	64	348	
39	932	2240	592	498	1119	2	788	
39	933	1428	822	264	880	72	835	
935	1246	2794	5274	2	1653	28	98	
1479	1130	420	965	103	377	79	530	
831	2547	19046	935	448	560	45	400	
107	4915	2857	884	107	711	226	1063	
582	895	558	928	24	701	30	743	
1419	207	49	852	2624	680	32	1000	
2095	1877	2668	1112	67	917	19	373	
189	980	1152	1774	18	188	33	1108	
8520	1242	1379	23986	9	525	32	1010	
4410	2411	2315	1336	2290	657	29	672	
3863	1102	397	940	80	782	109	997	
2371	1360	2308	909	5	974	49	857	
564	722	62	1399	87	411	48	576	
11029	1720	357	1009	40	958	83	637	
2982	906	977	705	37	545	24	4	
7484	748	1855	818	158	893	12	768	
113	819	2226	946	129	963	300	217	
1030	2137	6241	809	14568	393	341	61	
195	1423	1791	2397	148	868	101	164	
618	658	11249	958	164	834	163	711	
2653	2133	9807	953	38	638	531	509	
1721	897	2010	934	3	406	26	471	
6306	335	7936	1046	307	912	41	205	
3848	56	524	976	196	602	640	505	
28176	1406	158	776	11	444	431	789	
42	1230	4527	376	2	797	13	890	
6733	807	2942	2168	112	956	417	377	
9568	2283	2501	1126	39	855	25	674	
5029	762	9134	929	143	62	28	952	
16487	2265	617	1676	2	772	50	894	
98	893	12124	900	3	748	2	891	
2469	1478	9000	726	65	960	51	435	
113	1475	4691	64982	474	750	67	917	
17285	769	907	973	23	833	15	239	
9237	2230	4324	1629	21	815	63	1121	
2949	304	809	4365	94	580	81	780	
12555	1137	278	1240	50	469	33	625	
99	1276	365	817	9	552	121	723	
32	1954	1586	892	78	758	221	772	
10	927	366	747	5	946	265	883	
7141	790	440	450	142	22	133	331	
30	1375	2034	895	90	953	97	952	
17769	780	13449	797	482	297	1397	940	
9188	933	2380	1243	198	46677	122	453	
2049	17972	152403	914	188	929	56	709	
36062	919	407	810	91	915	40	813	
4941	926	3294	1285	625	30	2	90	
6652	523	1573	2078	59	184	370	945	
12954	822	1391	946	46	717	57	119	
421	937	6566	908	35	311	58	399	
433	615	596	4369	202	881	15	582	
8987	921	2547	839	464	835	475	949	
43	988	1055	893	148	369	13	846	
4162	1311	1731	1968	11	837	453	712	
1016	962	1544	977	155	1624	99	938	
311	93947	8825	1267	9	433	5	20	
380	898	82	17817	116	956	48	919	
1228	1257	1157	6255	96	935	624	688	
65	569	4297	408	71	423	118	575	
93	1282	2243	898	90	581	62	390	
4	790	232	512	23	709	267	1355	
556	929	10	1680	279	600	44	764	
3097	1598	43	958	61	889	464	548	
1811	806	40	921	25	121	18	852	
4472	104	4	909	50	922	121	312	
1081	1179	367	922	119	618	3	615	
2319	4826	1056	923	33	741	211	469	
178462	1725	1186	934	82	608	17	67	
1671	4765	7570	1249	17	890	48	899	
4450	1393	944	970	84	801	59	370	
3383	22745	19658	939	168	916	123	999	
48278	1993	1299	837	118	916	9	1000	
1239	2021	2576	281	51	1174	71	598	
4908	1583	2436	931	54	837	283	206	
4197	902	2985	937	57	694	130	1010	
9332	856	3654	811	102	869	96	975	
2916	1729	9423	939	98	31	24	679	
912	555	641	895	165	628	247	755	
189	1043	938	1331	103	736	28	233	
2111	1397	68	903	97	763	135	769	
5363	765	62	262	110	956	3	894	
18157	997	32	1821	49	823	63	744	
823	2381	40	1422	33	785	161	837	
28	957	74	4367	157	975	1790	777	
3207	748	97	1188	235	529	1	394	
448	7371	7310	2664	40	629	621	995	
1763	1598	105	1159	598	746	33	887	
7185	4435	789	5238	222	589	20	500	
3977	1459	1545	3204	49	671	6	378	
5541	1194	13	527	334	399	107	937	
11859	743	4976	546	410	30	202	256	
4420	958	50	794	230	681	24	604	
1023	1357	778	1429	6	741	101	385	
4632	2029	2679	935	138	949	8	840	
24740	928	555	975	115	828	108	941	
6957	2041	1284	258	37	910	438	581	
