1	1912	396	164	114	71	17	0
10	681	142	58	31	33	5	0
11	1183	289	125	57	54	14	0
12	942	278	115	81	29	20	0
13	298	48	20	13	11	2	0
14	552	176	74	37	27	8	0
15	531	143	64	38	12	11	0
16	781	273	109	61	43	24	0
17	1071	313	120	84	44	12	0
18	253	45	20	9	8	4	0
19	1278	310	117	97	44	22	0
2	1155	276	99	79	43	21	0
20	492	107	44	24	21	8	0
21	201	37	14	4	15	2	0
22	395	91	30	25	15	9	0
3	981	310	108	71	56	36	0
4	715	146	61	39	15	18	0
5	789	192	71	62	27	10	0
6	947	222	88	59	39	15	0
7	828	198	77	49	32	16	0
8	637	154	55	41	30	9	0
9	715	151	73	37	22	9	0
MT	13	5	0	0	0	5	0
X	804	154	47	37	45	10	0
Y	42	2	0	2	0	0	0
