1	1133	192	91	46	38	8	0
10	919	165	82	26	41	4	0
11	1540	273	98	71	51	24	0
12	606	100	48	33	10	3	0
13	761	105	46	27	20	4	0
14	680	128	55	38	20	7	0
15	736	117	49	30	13	19	0
16	619	120	66	33	10	0	0
17	985	166	80	54	16	9	0
18	425	63	24	20	10	6	0
19	674	124	63	35	14	4	0
2	1691	267	118	85	38	7	0
3	949	164	61	48	34	5	0
4	1222	186	93	36	32	9	0
5	1144	209	110	37	35	10	0
6	1062	142	74	28	30	5	0
7	1873	319	131	97	49	13	0
8	979	169	89	47	17	5	0
9	1143	187	82	50	34	3	0
MT	13	7	2	0	0	5	0
X	824	101	24	20	40	10	0
Y	17	0	0	0	0	0	0
