1	2980	500	162	96	157	36	0
10	1699	345	125	64	111	15	0
11	583	78	14	25	33	3	0
12	636	126	51	19	49	0	0
13	647	111	36	26	40	4	0
14	697	108	23	18	52	11	0
15	699	127	33	22	56	6	0
16	621	110	30	29	31	8	0
17	626	98	30	10	49	4	0
18	480	75	21	13	23	6	0
19	537	113	60	19	21	2	0
2	1384	211	83	34	73	11	0
20	593	131	36	19	63	6	0
3	1776	293	113	67	99	4	0
4	1425	199	60	32	90	9	0
5	1319	215	74	50	72	8	0
6	916	183	66	35	63	7	0
7	1305	223	74	61	57	14	0
8	1240	181	78	35	53	4	0
9	831	148	42	37	42	5	0
MT	13	7	2	0	0	5	0
X	950	126	23	17	75	5	0
Y	17	0	0	0	0	0	0
